epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.34306,1.06188,3.27187,1.30217,0.00417,1,0.23753,0.14764,0.98789,2.90946,1.03815,4e-05,4e-05,4e-05
2,5.79201,1.15622,3.27132,1.39041,0.00417,1,0.23282,0.12317,1.01631,2.87597,1.02356,9.901e-05,9.901e-05,9.901e-05
3,6.24546,0.98562,3.21408,1.16531,0.00417,1,0.995,0.63928,1.2658,2.6859,0.98416,0.000156832,0.000156832,0.000156832
4,6.74928,0.95949,2.31502,1.02132,0.00417,1,0.995,0.67515,1.1875,2.57215,1.04348,0.000213466,0.000213466,0.000213466
5,7.26409,1.07003,1.55916,1.03987,0.97336,1,0.995,0.68137,1.1048,2.21738,1.13033,0.000268912,0.000268912,0.000268912
6,7.7431,1.11202,1.55983,1.11813,0.93004,1,0.995,0.5439,1.25196,2.12527,1.20217,0.00032317,0.00032317,0.00032317
7,8.23037,0.9917,1.38695,1.06238,0.96857,1,0.995,0.60071,1.15887,2.22,1.0258,0.00037624,0.00037624,0.00037624
8,8.71285,0.96597,1.36633,0.99821,1,0.89777,0.995,0.62956,1.16788,2.2464,0.9936,0.000428122,0.000428122,0.000428122
9,9.18907,1.07292,1.48085,1.06,1,0.89503,0.995,0.58059,1.29369,2.17594,1.05092,0.000478816,0.000478816,0.000478816
10,9.66893,1.03283,1.41391,1.07111,1,0.90079,0.995,0.68369,1.14549,2.10937,1.06914,0.000528322,0.000528322,0.000528322
11,10.1607,1.03452,1.23569,1.05931,0.92932,0.8,0.90611,0.61791,1.17917,2.09581,1.05433,0.00057664,0.00057664,0.00057664
12,10.623,0.95068,1.33186,1.04398,0.93722,0.8,0.87833,0.59569,1.23012,2.16063,1.05204,0.00062377,0.00062377,0.00062377
13,11.1056,1.05984,1.40295,1.08596,1,0.54855,0.96167,0.70625,1.03752,2.51432,0.97229,0.000669712,0.000669712,0.000669712
14,11.5768,1.04443,1.31515,1.06457,1,0.67287,0.995,0.68042,1.17851,2.41615,1.04956,0.000714466,0.000714466,0.000714466
15,12.056,1.03993,1.38548,1.08955,1,0.76193,0.995,0.66002,1.24999,2.27905,1.10457,0.000758032,0.000758032,0.000758032
16,12.5334,1.03816,1.24057,1.08163,1,0.77786,0.96167,0.62949,1.23928,2.26121,1.09626,0.00080041,0.00080041,0.00080041
17,13.0111,1.05465,1.31575,1.11949,1,0.77438,0.96167,0.6428,1.32207,1.9793,1.16992,0.0008416,0.0008416,0.0008416
18,13.4831,0.95558,1.29884,1.05472,0.97384,1,0.995,0.67614,1.24185,1.83014,1.19122,0.000881602,0.000881602,0.000881602
19,13.9498,1.14888,1.25889,1.15146,0.92825,1,0.995,0.66637,1.22557,1.85666,1.14586,0.000920416,0.000920416,0.000920416
20,14.4206,1.07128,1.26076,1.10284,0.67729,0.84462,0.85786,0.62808,1.12803,2.02892,1.11519,0.000958042,0.000958042,0.000958042
21,14.8955,1.00907,1.14478,1.03928,1,0.77885,0.995,0.69812,1.20878,1.79564,1.15617,0.00099448,0.00099448,0.00099448
22,15.369,0.99854,1.21125,1.07664,0.99025,1,0.995,0.68114,1.26746,1.56353,1.20586,0.00102973,0.00102973,0.00102973
23,15.8431,1.00505,1.14311,1.07774,1,0.93921,0.995,0.6702,1.12522,1.51112,1.14996,0.00106379,0.00106379,0.00106379
24,16.3242,0.99868,1.0798,1.04575,0.98146,1,0.995,0.69612,1.12513,1.33932,1.14246,0.00109667,0.00109667,0.00109667
25,16.7914,1.06806,1.29141,1.14493,0.99144,1,0.995,0.66815,1.22395,1.3044,1.20882,0.00112835,0.00112835,0.00112835
26,17.2649,0.92872,1.13517,1.02032,0.99576,1,0.995,0.61219,1.39418,1.19905,1.31848,0.00115885,0.00115885,0.00115885
27,17.7343,1.02904,1.26028,1.08775,1,0.99909,0.995,0.6881,1.15427,1.27691,1.19496,0.00118816,0.00118816,0.00118816
28,18.2135,1.09519,1.20304,1.12439,0.9948,0.8,0.96167,0.70229,1.06354,1.3562,1.17273,0.00121628,0.00121628,0.00121628
29,18.6793,1.07073,1.26335,1.0855,0.9948,0.8,0.96167,0.70229,1.06354,1.3562,1.17273,0.00124322,0.00124322,0.00124322
30,19.1545,1.03832,1.12476,1.06657,1,0.79362,0.93786,0.67468,1.19119,1.33737,1.1633,0.00126896,0.00126896,0.00126896
31,19.6256,1.02355,1.16591,1.0584,1,0.98923,0.995,0.67967,1.31079,1.21626,1.14166,0.00129352,0.00129352,0.00129352
32,20.097,1.06892,1.15922,1.10704,1,0.99155,0.995,0.63969,1.33098,1.31039,1.23937,0.00131689,0.00131689,0.00131689
33,20.5616,1.06119,1.07604,1.11245,1,0.99155,0.995,0.63969,1.33098,1.31039,1.23937,0.00133907,0.00133907,0.00133907
34,21.0391,1.04716,1.10836,1.14693,0.99181,1,0.995,0.66419,1.34346,1.20053,1.34656,0.0013466,0.0013466,0.0013466
35,21.5123,1.03933,1.1483,1.06828,0.99104,1,0.995,0.58405,1.43473,1.21656,1.4123,0.0013268,0.0013268,0.0013268
36,21.9819,1.03153,1.1109,1.10951,0.98275,1,0.995,0.59689,1.46993,1.17019,1.35473,0.001307,0.001307,0.001307
37,22.4449,1.04573,1.1105,1.11017,0.98275,1,0.995,0.59689,1.46993,1.17019,1.35473,0.0012872,0.0012872,0.0012872
38,22.9104,1.14638,1.15302,1.12764,1,0.98563,0.995,0.5926,1.45422,1.26727,1.32165,0.0012674,0.0012674,0.0012674
39,23.3829,0.96137,1.02331,1.08056,0.95561,1,0.995,0.56191,1.42288,1.11721,1.38009,0.0012476,0.0012476,0.0012476
40,23.8499,1.01904,0.98927,1.09697,0.99749,1,0.995,0.67459,1.30424,1.01514,1.30716,0.0012278,0.0012278,0.0012278
41,24.3045,0.98273,0.98693,1.07406,0.99749,1,0.995,0.67459,1.30424,1.01514,1.30716,0.001208,0.001208,0.001208
42,24.7733,1.07327,1.0761,1.08486,0.98215,1,0.995,0.64977,1.30676,0.93623,1.2732,0.0011882,0.0011882,0.0011882
43,25.2477,1.01975,0.96897,1.04716,0.98714,1,0.995,0.6366,1.35265,0.85266,1.23961,0.0011684,0.0011684,0.0011684
44,25.7181,0.82734,0.92797,1.01533,0.98996,1,0.995,0.66134,1.31176,0.87406,1.14937,0.0011486,0.0011486,0.0011486
45,26.1804,0.96286,1.00556,1.05445,0.98996,1,0.995,0.66134,1.31176,0.87406,1.14937,0.0011288,0.0011288,0.0011288
46,26.6437,0.9215,0.87307,1.0514,0.98832,1,0.995,0.70192,1.20583,0.91475,1.11446,0.001109,0.001109,0.001109
47,27.1202,0.97727,0.88537,1.03814,0.98797,1,0.995,0.7352,1.23749,1.0223,1.19737,0.0010892,0.0010892,0.0010892
48,27.6103,0.90707,0.83666,1.01895,0.98456,1,0.995,0.7352,1.29207,1.01737,1.21597,0.0010694,0.0010694,0.0010694
49,28.0813,0.87731,0.89031,1.04864,0.98456,1,0.995,0.7352,1.29207,1.01737,1.21597,0.0010496,0.0010496,0.0010496
50,28.5675,1.0114,0.89571,1.06649,0.98885,1,0.995,0.68267,1.41019,0.92502,1.24322,0.0010298,0.0010298,0.0010298
